date,truck,category,items,prices,location,time,source_image,images,fulltext,notes
2026-09-10,極餓排骨酥&雞腿酥,小吃,排骨酥；雞腿酥；黑白雙殺（白木耳露＆黑木耳露）,排骨酥 小份100/中份150/大份200；木耳露 一瓶80/兩瓶150,南軟餐車駐點,16:00-20:00（或完售）,archive/2026-09/2026-09-10_1952_p02.png,img/2026-09-10_pork-rib.jpg,"日期：9／10（星期四）
時間：16:00～20:00（或完售）
地點：南港 南軟餐車駐點
付款方式：現金
預訂取餐時間16:30開始，感謝大家
最晚預訂取餐時間19:00，感謝大家

南港的朋友們，大家好啊……（內容截斷）",歐翼車；只收現金；預訂取餐 16:30 起、最晚 19:00；貼文 9/9 20:10；DM 小字價格不確定；內容截斷（貼文已被刪除，無法再展開）
2026-09-10,粉桃君_鐵板沙威瑪/蔥抓餅,小吃,鐵板沙威瑪（日式洋蔥雞肉、台式黑胡椒豬肉）；超值組合（+蛋+起士）；蔥抓餅（原味、招牌香酥蛋餅）,日式洋蔥雞肉 80；台式黑胡椒豬肉 80；超值組合 100；蔥抓餅原味 40；招牌香酥蛋餅 50,南軟二期市集,16:30-19:30,archive/2026-09/2026-09-10_1952_p01.png,img/2026-09-10_shawarma.jpg,"09/10（四）16:30～19:30
嗨嗨 南港的朋友們 首次來到貴寶地。
想吃點「現做、熱呼呼、又超有滿足感」的嗎？
粉桃君直接把鐵板香氣搬到南軟二期市集！

鐵板沙威瑪｜台灣漢堡的豪邁吃法！

不是一般冷冷的漢堡，而是把香嫩肉絲直接送上煎台
……（內容截斷）",首次來南港；貼文 9/9 20:11；圖片跨頁只裁到上半；內容截斷（貼文已被刪除，無法再展開）
2026-09-11,MB 提拉米蘇,甜點,手作提拉米蘇（經典原味、清香檸檬、Oreo脆片、濃郁抹茶、芋頭藏香、酸甜藍莓、隱藏橙香）；鮮奶酪系列（原味、芒果、藍莓、草莓、Oreo脆皮）,經典原味 120；清香檸檬 130；Oreo脆片 130；濃郁抹茶 130；芋頭藏香 140；酸甜藍莓 150；隱藏橙香 160；原味鮮奶酪 40；果醬鮮奶酪 50；Oreo脆皮鮮奶酪 50；鮮奶酪買5送1,南軟二期市集,16:00-20:00（或售完）,archive/2026-09/2026-09-10_2131_p00.png,img/2026-09-11_mb-tiramisu.jpg,"MB Tiramisu – 手作多口味提拉米蘇
營業時間：9／11（五）（或售完）
16:00–20:00

預訂請留以下資訊
餐點：（品項）+（數量）
姓名：
電話後3碼：
大約取餐時間：
或用點餐系統（下方連結）
https://reurl.cc/vGkG2e

今天帶來滿滿幸福的甜點盒
一次能享受多種風味：
經典原味 $120 – Cacao Barry可可粉撒上頂層
清香檸檬 $130 – 酸甜清新
Oreo脆片 $130 – 濃郁酥脆
濃郁抹茶 $130 – 茶味醇厚
芋頭藏香 $140 – 芋頭×綿密
酸甜藍莓 $150 – 果香酸甜
隱藏x橙香餘韻 $160 – 當季肚臍橙

嚴選 Galbani 義大利瑪斯卡邦乳酪 + 動物性鮮奶油，綿密細緻，入口即化

☑ 減醣配方
☑ 無咖啡液
☑ 無酒精
大人小孩都能安心享用
保存方式：
冷藏2天
冷凍5天（冰沙口感）

——鮮奶酪系列——
原味鮮奶酪 $40
芒果果醬鮮奶酪 $50
藍莓果醬鮮奶酪 $50
草莓果醬鮮奶酪 $50
Oreo脆皮鮮奶酪 $50

鮮奶酪全品項買5送1

滿足你的所有甜點想像
今天，就用提拉米蘇療癒自己吧！

https://www.instagram.com/mbtiramisu?igsh=YTJycXBoMTFhMHZs&utm_source=qr

#提拉米蘇 #Tiramisu #手作甜點 #創業
#擺攤 #甜點控 #平價甜點 #多口味甜點 #MB",落地攤；預訂：留言 品項+數量+姓名+電話後3碼+取餐時間，或用點餐系統連結；貼文 9/10 約19:35
2026-09-11,尻一支香腸,小吃,黑豬肉香腸；黑豬肉生香腸（7支約一斤，可預訂）,香腸 1支50/2支90/3支130；生香腸 7支230,南軟二期市集,11:30-14:00,archive/2026-09/2026-09-10_2131_p02.png,img/2026-09-11_sausage.jpg,"9/11（五）營業時間：11:30～14:00
尻一支香腸來了！
我們是國產豬，安全的豬肉

老闆職人嚴選原味黑豬肉香腸、細心控溫、品質保證古早味黑豬肉香腸是特別訂製不乾柴、肥瘦比例剛剛好，咬一口香腸，嘴裡會有滿滿的肉香吃起來會噴汁

黑豬肉香腸一支$50元
黑豬肉香腸二支$90元
黑豬肉香腸三支$130元
現場也會有蒜頭可以搭配

黑豬肉生香腸7支約一斤（可保存半年）$230可預訂

付款方式：現金

老闆堅持香腸生烤無過油無蒸煮保留原味，要把剛烤好熱熱的香腸交給你們，所以沒有開放預訂，請現場購買，敬請見諒
⛔沒有預訂⛔

期待與您相見
臉書粉絲團：
https://www.facebook.com/share/19RwMU8wnw/",國產豬；只收現金；熟香腸不接受預訂，生香腸可預訂；貼文 9/10 約19:25；開始時間 9/11 當天被老闆改過（9/11 08:31 截圖為 11:00，18:13 截圖為 11:30），此處採較新的 11:30
2026-09-11,大仁哥烤雞,小吃,烤雞（巡迴）,,臺北市南港區三重里園區街3-2號H棟（南港軟體園區郵局）,,archive/2026-09/2026-09-10_2131_p03.png,img/2026-09-11_roast-chicken.jpg,"大仁哥烤雞來囉！！各位貴賓大家好，大仁哥烤雞預計9/11（星期五）巡迴抵達至南港與各位相見歡，能遇見各位貴賓是我們的榮幸，煩請大家告訴大家，粉絲頁開放預訂囉、附上連結給各位貴賓預定
https://www.facebook.com/share/p/195nBN1dgu/?mibextid=wwXIfr
地址：臺北市南港區三重里園區街3-2號H棟（南港軟體園區郵局）",預訂：FB 貼文連結；營業時段未寫；貼文 9/8 12:00
2026-09-14,飛天食鋪滷味,小吃,飛天套餐A（蜂巢豆干、北海道昆布、貓耳朵、大腸、花生）；飛天套餐B（牛腱、牛肚、蜂巢豆干、北海道昆布、貓耳朵）；現場單點滷味,飛天套餐A 250；飛天套餐B 380,南港軟體園區,16:30-20:00,archive/2026-09/2026-09-14_0832_p00.png,img/2026-09-14_luwei.jpg,"快閃餐車-飛天食鋪滷味 僅6份預定

9/14（週一）滷味預購公告

支付方式：現金、LINE PAY

地點：南港軟體園區
google：請點

營業時間：16:30 – 20:00
預定截止：當日 13:00 前（因開攤忙碌，會有漏接訊息，無法及時回覆，敬請見諒）
取餐時間：16:30 開始

北屯市場排隊名攤來囉

平常要排隊才能買，而且晚到常常買不到的眷村滷味，現在不用苦等就能吃到！

堅持特色：

不加色素、醬油

採用多種中藥材與天然食材

60年老滷汁傳承，眷村底蘊的好味道

當天現滷，確保品質

老闆故事：
從飯店廚師轉職，傳承60年老滷汁，勇敢挑戰餐車，
用專業與真誠，帶來安全美味的眷村白滷！
讓你的舌尖，能同時品嚐到食物的原始風味與醬汁融合在一起的豐富層次感。

預購套餐

飛天套餐 A（$250）
蜂巢豆干、北海道昆布、貓耳朵、大腸、花生

飛天套餐 B（$380）
牛腱、牛肚、蜂巢豆干、北海道昆布、貓耳朵

限量 10份，額滿後請現場購買。
（現場可自由選購，商品以當日為主，暢銷款偶有售完情況）

預購格式（請於留言處填寫）

飛天套餐：A / B / 單點
電話末 3 碼：___
取餐時間：___

喜歡滷味的朋友，歡迎追蹤粉專：
飛天食鋪滷味館 Facebook或是IG

https://www.facebook.com/share/179cEF8uQq/https://www.threads.com/@kevin23888",快閃餐車，來自台中北屯市場的眷村滷味；付款：現金、LINE PAY；預訂截止當日 13:00 前，取餐 16:30 起；預購格式：套餐 A/B/單點＋電話末3碼＋取餐時間（留言處填寫）；貼文 9/13 22:16；貼文開頭寫「僅6份預定」、內文寫「限量10份」，兩處不一致，未改寫
2026-09-14,圓滿堂/日式烤糰子,甜點,日式烤糰子（鹹）：日式醬油、海苔粉、海苔絲、柴魚；日式烤糰子（甜）：台灣黑糖炙燒、日本靜岡抹茶、台灣有機黃豆粉、桂花釀；奶蓋系列：抹茶、歐力歐、黑糖；飲品：古早味紅茶奶蓋、高山冷泡茶、伊朗玫瑰冰奶茶,日式醬油 40；海苔粉 50；海苔絲 50；柴魚 50；台灣黑糖炙燒 50；日本靜岡抹茶 50；台灣有機黃豆粉 50；桂花釀 50；抹茶奶蓋糰子 60；歐力歐奶蓋糰子 60；黑糖奶蓋糰子 60；古早味紅茶奶蓋 90；高山冷泡茶 50；伊朗玫瑰冰奶茶 60,,11:30-14:00（或完售）,archive/2026-09/2026-09-14_0832_p03.png,img/2026-09-14_dango.jpg,"9/14
圓滿堂日式烤糰子
11:30-14:00或完售
南軟的朋友久等了！我們終於來了
買回去吃點心，放涼糰子會QQ也很好吃
平時可是要在雲林分店及宜蘭分店才吃得到喔！
日本人都驚奇怎麼比日本好吃

食材來自雲林的天然黑豆300天陶缸釀造醬油、雲林糯米粉、傳承阿嬤的滋味、每顆糰子都是純手工製作！無添加任何添加物、請當日完食喔

日式烤糰子（鹹）：
日式醬油$40
海苔粉$50
海苔絲$50
柴魚$50

日式烤糰子（甜）：
台灣黑糖炙燒$50
日本靜岡抹茶$50
台灣有機黃豆粉$50
桂花釀$50

奶蓋系列
抹茶奶蓋糰子$60
歐力歐奶蓋糰子$60
黑糖奶蓋糰子$60

飲品：
古早味紅茶奶蓋糰子$90
高山冷泡茶$50
（可回沖2次）
伊朗玫瑰冰奶茶$60
（用玫瑰及牛奶煮）

追蹤我們：
圓滿堂行動3號車
https://www.instagram.com/umtat03?igsh=MWpING11d3owNDYwbA%3D%3D&utm_source=qr

圓滿堂雲林店
https://www.instagram.com/u_m_t2.345?igsh=MXMxbzJsa3FiMHR3bw%3D%3D&utm_source=qr

圓滿堂宜蘭店

線上預訂同時段只收3單、大家可以前後抓個10-20分鐘

奶蓋建議現場吃，不宜放過久
塑膠袋因老闆還在思考怎麼做可以環保 暫時沒提供

最晚取餐時間 14:00
時間：
電話末三碼：
品項：",顯示名稱「圓滿堂/日式烤糰子/棚式餐車/北部」，去掉車型與地區後綴；線上預訂同時段只收 3 單，可前後抓 10-20 分鐘；最晚取餐 14:00；預訂格式：時間＋電話末三碼＋品項；奶蓋建議現場吃；貼文 9/13 20:21；貼文未寫地點，只提到「南軟的朋友」，故 location 留空
2026-09-14,衿燒餐車,便當,熔岩起士雞排；紅麴梅子雞排；傳統古早味雞排；咖哩飯（8兩雞排、唐揚雞、五花豬、單純無肉）；咖哩烏龍麵（8兩雞排、唐揚雞、五花豬）；炸物小點（脆薯、手工地瓜、炸年糕）；熱狗堡,熔岩起士雞排 150；紅麴梅子雞排 120；古早味傳統雞排 100；8兩雞排咖哩飯 190；唐揚雞咖哩飯 190；五花豬咖哩飯 170；單純咖哩飯 150；8兩雞排咖哩烏龍麵 195；唐揚雞咖哩烏龍麵 195；五花豬咖哩烏龍麵 180,,中午場（取餐 11:00-13:30）,archive/2026-09/2026-09-14_0832_p07.png,img/2026-09-14_curry-rice.jpg,"【衿燒餐車｜餐點介紹｜歡迎預訂】
販售日期：9月14日 中午場

招牌雞排
熔岩起士雞排｜黑色脆皮＋濃郁起司醬
紅麴梅子雞排｜酸甜鹹香、越吃越涮嘴
傳統古早味雞排｜經典胡椒香，簡單就是好吃

慢熬日式咖哩醬，香濃滑順
咖哩飯系列—飽足感十足。
‧8兩雞排咖哩飯 $190
‧唐揚雞咖哩飯 $190
‧五花豬咖哩飯 $170
‧單純咖哩飯 $150（無肉）

咖哩烏龍麵系列— Q彈烏龍麵搭配濃郁咖哩
‧8兩雞排咖哩烏龍麵 $195
‧唐揚雞咖哩烏龍麵 $195
‧五花豬咖哩烏龍麵 $180

咖哩飯皆附菜＋蛋
肉類咖哩飯/麵「咖哩醬另外附」
單純咖哩飯只有菜＋蛋，咖哩醬直接淋

炸物必點小點
脆薯、手工地瓜、炸年糕等多樣選擇。

熱狗堡
現場限定販售，數量有限，不提供預訂。

第一批取餐時間
11:00｜11:30｜12:00
12:30｜13:00｜13:30

預訂三步驟
① 餐點名稱＋數量
② 取餐時間
③ 電話末三碼（取餐號碼）
④ 訂單按 = 預訂確認

餐點皆為現點現做，尖峰時段請耐心等候，感謝支持",顯示名稱「衿燒餐車（雞排、咖哩飯、熔岩堡）」；第一批取餐時間 11:00/11:30/12:00/12:30/13:00/13:30；預訂三步驟：餐點名稱+數量、取餐時間、電話末三碼，訂單按笑臉＝確認；熱狗堡現場限定不接受預訂；三款雞排價格取自 DM 圖（貼文內文未寫）；貼文 9/13 20:21；貼文只寫「中午場」沒寫明確營業時段，也沒寫地點，location 留空
2026-09-14,ㄔ嘴牛排,便當,雙拼排餐（牛/豬/雞任選二）；牛牛雙拼；厚切12盎司沙朗牛排；菲力牛排（6盎司）；6盎司沙朗牛排；嫩煎豬排；香酥雞腿排；CH板腱牛排（6盎司）；CH帶骨牛小排（6盎司）；PR霜降牛排（9盎司）；CH翼板牛排（8盎司）；重量級三拼；厚切24盎司沙朗牛排,雙拼排餐 250；牛牛雙拼 270；厚切12盎司沙朗牛排 270；菲力牛排 270；6盎司沙朗牛排 160；嫩煎豬排 160；香酥雞腿排 160；CH板腱牛排 230；CH帶骨牛小排 330；PR霜降牛排 330；CH翼板牛排 400；重量級三拼 350；厚切24盎司沙朗牛排 460,,16:30-19:30,archive/2026-09/2026-09-14_0832_p10.png,img/2026-09-14_steak.jpg,"9/14（週一）
9/14（週一）
營業時間：16:30-19:30


大家好我們是ㄔ嘴牛排行動餐車,
100%原肉主義
沙朗牛肉系列採用經過7-14濕式熟成
口感更加美味。
每份排餐均附蛋、麵、肉品
我們的肉多、份量多
絕對比外面cp值還高，喜歡大口吃肉的朋友千萬不要錯過。

不要麵可以換成蛋
如需加麵的話加10元、加蛋加10元。
醬料：蘑菇 黑胡椒 綜合 可以選擇

加入我們的官方Line:@340scpfz
可以提前一天預定餐點
也可以在記事本直接留言，有回覆才算訂餐成功。
心動不如馬上行動!!!!

訂餐請於當天下午三點前留言，有按笑臉才是訂餐成功嘿
有預定成功的朋友，請直接跟點餐人員告知手機末三碼取餐，不用排隊之類的嘿",每份排餐附蛋、麵、肉品；不要麵可換成蛋，加麵/加蛋各 +10；醬料可選蘑菇/黑胡椒/綜合；預訂：官方 LINE @340scpfz 或記事本留言（需有回覆才算成功），當天下午三點前；貼文 9/13 19:57；DM 排餐欄最後一項被裁切看不清楚，未記；貼文未寫地點，location 留空
2026-09-14,初餓行動餐車,小吃,抓餅（原味、德國香腸、鮪魚玉米、椒麻雞腿、照燒雞腿、牛肉起司）；炒麵（德國香腸、椒麻雞腿、照燒雞腿）；炒粿條；煎餃；蘿蔔糕；宜蘭蔥仔餅,原味抓餅 35；德國香腸抓餅 65；鮪魚玉米抓餅 70；椒麻雞腿抓餅 85；照燒雞腿抓餅 85；牛肉起司抓餅 85；德國香腸炒麵 80；椒麻雞腿炒麵 90；照燒雞腿炒麵 90；炒粿條 70；煎餃 40；蘿蔔糕 40；蔥仔餅 5個55；蔥仔餅 10個100,南軟二期市集,11:00-13:30（或售完）,archive/2026-09/2026-09-14_0832_p12.png,img/2026-09-14_scallion-pancake.jpg,"午餐快閃
大家好，這裡是初餓行動餐車
9／14 在南軟二期 餐車市集
販賣時間：11:00-13:30或售完

販賣品項：
我們的抓餅和外面一般的抓餅不一樣
是有點厚度外酥內Q的嘿！有多種口味任您選擇

原味抓餅 35
德國香腸抓餅 65
鮪魚玉米抓餅 70
椒麻雞腿抓餅 85
照燒雞腿抓餅 85
牛肉起司抓餅 85

現炒台式炒粿條，每根麵條都吸附滿滿的湯汁，好吃又大碗嘿

德國香腸炒麵 80
椒麻雞腿炒麵 90
照燒雞腿炒麵 90
炒粿條 70

可另外加肉
椒麻雞腿+30 照燒雞腿+30 德國香腸+25

不用懷疑，這絕對比大多數吃過的都還要好吃！
小孩大人都愛的台式點心

煎餃 40（10粒）
蘿蔔糕 40

回購率超高的爆漿蔥仔餅，超好吃不會騙你

蔥仔餅 5個55元，10個100元

以上加蛋+10 加起司+10

一律現金付款

取餐時間：
電話後三碼：
預定品項/數量：",午餐快閃；加肉：椒麻雞腿 +30、照燒雞腿 +30、德國香腸 +25；加蛋 +10、加起司 +10；一律現金付款；預訂格式：取餐時間＋電話後三碼＋品項/數量；貼文 9/13 18:19
